id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
277870866,Tây Du Lầy Lội Ký 1,225000,225000,0,0.0,0,0,Trần Lỗi,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,384.0,2025-04-26,Nhà sách NetaBooks,available,1000,True,True,True
276751099,Ngốc Đại Hiệp Kungfu Mì Sợi (Trọn Bộ 4 Quyển) - Lệnh Khổng Chữ,190000,190000,0,0.0,0,0,,An Nam Books,Nhà Xuất Bản Văn Học,,Bìa mềm tay gấp,605.0,2020-12-24,SÁCH ĐẠI NAM,available,1000,True,True,True
275858426,Bạch Nhật Đề Đăng - Tập 1,158400,198000,20,0.0,0,0,Lê Thanh Nhiên,Công ty TNHH Thương mại và Dịch vụ Văn hóa Hà Nội,Nhà Xuất Bản Văn Học,,Bìa mềm,416.0,2024-08-06,Bamboo Books,available,1000,True,True,True
275140040,Sách PHONG QUỐC,134000,189000,29,5.0,1,18,Nguyễn Dương Quỳnh,Công Ty TNHH Sách Và Truyền Thông Việt Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,440.0,2024-06-01,Tiki Trading,available,1000,True,True,True
273296826,Phong Ma Yến Tước - Tập 1: Nuối Tiếc Giang Hồ,215000,215000,0,0.0,0,0,Thái Chí Hạo,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,460.0,2023-11-10,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
273296433,Phong Ma Yến Tước - Tập 2: Địa Ngục Thiên Đường,265000,265000,0,0.0,0,0,Thái Chí Hạo,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,510.0,2023-11-10,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
272555182,Combo Tây Du Ký (20 Tập) - Vanlangbooks,403000,500000,19,0.0,0,6,,VanLangBooks,NXB Trẻ,,Bìa mềm,,,Văn Lang Official Store,available,1000,True,True,True
272251059,Thương tiến tửu - Tập 1- Bìa mềm,169000,169000,0,0.0,0,1,Đường Tửu Khanh,Công ty Cổ Phần ZGroup,nxb van hoc,,Bìa mềm,456.0,2022-09-29,Bảo Châu Books,available,1000,True,True,True
271456421,Combo Tam Quốc Diễn Nghĩa (Bộ 2 tập) (Tái bản),238300,325000,27,3.6,5,33,La Quán Trung,Nhà sách Minh Thắng,Nhà Xuất Bản Văn Học,,Bìa cứng,1708.0,2023-06-01,Tiki Trading,available,1000,False,True,True
270820051,Ngôi Nhà Kỳ Quái - HH,138000,138000,0,0.0,0,0,Uketsu,Huy Hoàng Bookstore,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,284.0,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
