id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279131170,Spy room - Lớp học điệp viên tập 9,114700,149000,23,0.0,0,9,"Takemachi, Tomari",Thái Hà,Nhà Xuất Bản Hà Nội,,,380.0,2026-01-15,Tiki Trading,available,1000.0,False,True,True
279008515,Vị Hôn Thê Giản Dị Của Tôi Rất Dễ Thương Lúc Ở Nhà: Tập 1 - Tặng Kèm Bookmark Hai Mặt (Số Lượng Có Hạn),139000,139000,0,0.0,0,1,Yuu Hidaka,Gieobooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,288.0,2025-12-26,Tazano Official Store,available,1000.0,True,True,True
278951876,Sách Vị Hôn Thê Giản Dị Của Tôi Rất Dễ Thương Lúc Ở Nhà (Tập 1),125000,139000,10,3.0,1,0,Yuu Hidaka,Shinebooks,Nhà Xuất Bản Thế Giới,,,288.0,,Tiki Trading,available,1000.0,False,True,True
278802389,Sách Ta Là Chúa Tể Độc Ác Của Đế Quốc Liên Thiên Hà (Tập 1),131000,149000,12,5.0,2,11,Mishima Yomu,Tsuki LightNovel,Nhà Xuất Bản Thế Giới,,Bìa mềm,376.0,2025-10-29,Tiki Trading,available,1000.0,False,True,True
278094596,"Spy Room - Lớp Học Điệp Viên - Ngoại Truyện 02 - Người Thầy Điệp Viên Yêu Tôi (Tặng Kèm Bưu Thiếp, Standee Giấy, Móc Khóa Mica)",120100,149000,19,5.0,1,21,Takemachi,Thái Hà,Nhà Xuất Bản Hà Nội,,Bìa mềm,348.0,,Tiki Trading,available,1000.0,False,True,True
277976716,Sách - Về Chuyện Tôi Chuyển Sinh Thành Slime - Tập 6 - Tặng Kèm Bookmark + Postcard,194700,205000,5,5.0,1,5,"Fuse,  Mizt Vah",Skybooks,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
277038177,Sách - Chén Thánh Của Eris - Tập 4 - Tặng Kèm Bookmark + Postcard Có Chân Đế,90200,95000,5,0.0,0,2,Kujira Tokiwa,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
276471612,Sách Bí Ẩn Lễ Hội Kazegaoka – Đồng Xu 50 Yên,127200,159000,20,5.0,1,58,Yugo Aosaki,Ai Novel,Nhà Xuất Bản Dân Trí,,Bìa mềm,380.0,,Tiki Trading,available,1000.0,False,True,True
276248033,[Light Novel] Dược Sư Tự Sự - Tập 5 - Tặng Kèm Bookmark,118700,125000,5,5.0,6,59,Natsu Hyuuga,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
275970858,Hành Trình Của Elaina - Tập 15 - Tặng Kèm 1 Postcard + 2 Bookmark,112500,125000,10,5.0,1,15,Jougi Shiraishi,XYZ,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
