id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279202271,Sách Và Cậu Bước Đến,145300,189000,23,5.0,1,11,A Thuần,Đinh Tị,Nhà Xuất Bản Văn Học,,Bìa mềm,424.0,,Tiki Trading,available,1000,False,True,True
278714085,Sách Chứng Bệnh - Ngọc Tự Nhân,166000,167700,1,5.0,2,13,Ngọc Tự Nhân,Linh Lan Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,464.0,,Tiki Trading,available,1000,False,True,True
278809847,Sách Là Họa Không Thể Tránh (Tập 1 + Tập 2),269500,350000,23,4.6,5,35,Đan Thanh Thủ,Skynovel,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,2025-10-30,Tiki Trading,available,1000,False,True,True
23413038,Sách Mãi Mãi Là Bao Xa (Tái Bản 2019),111500,135000,17,4.7,1046,4498,Diệp Lạc Vô Tâm,Đinh Tị,Nhà Xuất Bản Thanh Niên,,Bìa mềm,590.0,2019-07-01,Tiki Trading,available,1000,False,True,True
276653136,Sách Hồ Điệp Và Kình Ngư,118000,155000,24,5.0,7,50,Tuế Kiến,Đinh Tị,Nhà Xuất Bản Văn Học,,Bìa mềm,272.0,,Tiki Trading,available,1000,False,True,True
278521561,Sách Công Viên Nhỏ – Tập 1,183200,229000,20,4.7,3,39,Mai Tử Đao,VanVietBooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,496.0,2025-08-26,Tiki Trading,available,1000,False,True,True
278731398,Gặp Anh Của Thời Niên Thiếu,355900,458000,22,5.0,4,27,Chung Cận,Đinh Tị,Nhà Xuất Bản Văn Học,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
279182078,Sách Hậu Cung Như Ý Truyện (Tập 6),171750,229000,25,5.0,1,33,Lưu Liễm Tử,Moon Novels,Nhà Xuất Bản Văn Học,,,,,Tiki Trading,available,1000,False,True,True
278817069,Sách Cũng Chỉ Là Hạt Bụi,145530,189000,23,0.0,0,11,Mộc Phù Sinh,Meibooks,Nhà Xuất Bản Văn Học,,Bìa mềm,472.0,2025-10-31,Tiki Trading,available,1000,False,True,True
54682252,Sách All In Love - Ngập Tràn Yêu Thương (Tái Bản 2020),107100,119000,10,5.0,94,231,Cố Tây Tước,Đinh Tị,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,416.0,2020-05-01,Nhà sách Fahasa,available,1000,True,True,True
