id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
7496289,Sách Sơn Nam - Lịch Sử Khẩn Hoang Miền Nam (Tái Bản),96000,115000,17,4.8,95,977,Sơn Nam,NXB Trẻ,NXB Trẻ,,Bìa mềm,348.0,2018-01-11,Tiki Trading,available,1000.0,False,True,True
273713282,Sách Đinh Trang Mộng - Tái Bản,146000,200000,27,4.5,16,161,Diêm Liên Khoa,Tao Đàn,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,356.0,2023-12-12,Tiki Trading,available,1000.0,False,True,True
4059687,"Sách Giới Thiệu Sài Gòn Xưa, Ấn Tượng 300 Năm, Tiếp Cận Với Đồng Bằng Sông Cửu Long",90200,95000,5,5.0,2,18,Sơn Nam,NXB Trẻ,,,Bìa mềm,323.0,2018-08-24,Nhà sách Fahasa,available,1000.0,True,True,True
4059691,Sách Hồi Ký. Từ U Minh Đến Cần Thơ…,131100,138000,5,5.0,3,13,Sơn Nam,NXB Trẻ,,,Bìa mềm,518.0,2018-08-24,Nhà sách Fahasa,available,1000.0,True,True,True
200852586,Sách Namaskar! Xin chào Ấn Độ,98000,130000,25,4.8,6,72,Hồ Anh Thái,NXB Trẻ,NXB Trẻ,,Bìa mềm,426.0,2022-10-10,Tiki Trading,available,1000.0,False,True,True
3979919,Sách Mekong - Phù Sa Phiêu Bạt,116200,125000,7,5.0,6,45,Khải Đơn,PHANBOOK,,,Bìa gập,265.0,2018-09-01,Nhà sách Fahasa,available,1000.0,True,True,True
277553010,Sách Cuộc Đời Bôn Tẩu Của Tôi,107000,139000,23,4.0,1,3,Châu Thanh Sơn,Thái Hà,Nhà Xuất Bản Công Thương,,,248.0,,Tiki Trading,available,1000.0,False,True,True
4059683,"Sách Đất Gia Định Xưa, Bến Nghé Xưa, Người Sài Gòn",112100,118000,5,5.0,5,36,Sơn Nam,NXB Trẻ,,,Bìa mềm,472.0,2018-08-24,Nhà sách Fahasa,available,1000.0,True,True,True
199739992,Sách Cơ Trưởng Từ Buồng Lái,60750,135000,55,5.0,22,236,Thư Uyển,Nhã Nam,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,374.0,2022-10-10,Tiki Trading,available,1000.0,False,True,True
278636879,Sách Viết & Sống,129360,168000,23,0.0,0,58,Anne Lamott,First News - Trí Việt,Nhà Xuất Bản Dân Trí,,Bìa mềm,312.0,,Tiki Trading,available,1000.0,False,True,True
4977817,"Sách Sơn Nam - ĐBSCL - Nét Sinh Hoạt Xưa, Văn Minh Miệt Vườn (Mới)",99700,105000,5,4.6,12,51,Sơn Nam,NXB Trẻ,,,Bìa mềm,388.0,2018-09-01,Nhà sách Fahasa,available,1000.0,True,True,True
