id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279184839,Di sản và văn hóa (Sách tham khảo),171000,190000,10,0.0,0,1,GS. TS Trương Quốc Bình,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,Bìa mềm,348.0,,Bảo Châu Books,available,1000.0,True,True,True
279124622,"Mossad - Chiến Dịch Tình Báo Huyền Thoại: Những điệp vụ kinh điển làm rúng động thế giới - Michael Bar-Zohar, Nissim Mishal - Alpha Books",194000,229000,15,0.0,0,8,"Michael Bar-Zohar, Nissim Mishal",Alpha Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,340.0,2026-01-24,Alpha Books Official,available,1000.0,True,True,True
279016713,CÓ MỘT SÀI GÒN TỬ TẾ TỪ TÂM - Lê Văn Nuôi - NXB Trẻ,120000,120000,0,0.0,0,0,Lê Văn Nuôi,NXB Trẻ,NXB Trẻ,,Bìa mềm,276.0,,Bamboo Books,available,1000.0,True,True,True
278933053,Văn Hóa Văn Nghệ Trên Tạp Chí Bách Khoa,138000,150000,8,0.0,0,0,Trần Huiền Ân,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,Bìa mềm,232.0,2025-12-04,Nhà sách NetaBooks,available,1000.0,True,True,True
278904825,Sách - Sống sao cho sướng - Tác Giả Mị Dung,99000,99000,0,0.0,0,11,Mị Dung,Nhà Sách Nam Anh,Nhà Xuất Bản Thế Giới,,Bìa mềm,290.0,2025-11-01,Nhà Sách Nam Anh,available,1000.0,True,True,True
278237841,Rời Khỏi Sài Gòn - Hành Trình Một Nhân Viên Ngân Hàng Đưa 113 Thường Dân Rời Đi Vào Tháng 4/1975,206100,229000,10,0.0,0,0,Ralph White,Phương Nam Book,Nhà Xuất Bản Thế Giới,,Bìa mềm,324.0,2025-07-03,PHƯƠNG NAM BOOK,available,1000.0,True,True,True
278227627,Phụ Nữ Bàn Về Vấn Đề Phụ Nữ Trên Phụ Nữ Tân Văn,265050,279000,5,5.0,1,1,Đoàn Ánh Dương,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,2025-07-01,Cá Chép Bookstore,available,1000.0,True,True,True
277232114,30 Năm Văn Học Kháng Chiến (1945-1975),132000,176000,25,5.0,1,9,,VIETNAMBOOK,Nhà Xuất Bản Quân Đội Nhân Dân,,Bìa mềm tay gấp,,2025-02-03,VIETNAMBOOK,available,1000.0,True,True,True
276944803,Sách Biệt Động Sài Gòn,99000,130000,24,5.0,2,66,Nguyễn Đức Hùng,NXB Trẻ,NXB Trẻ,,Bìa mềm,272.0,,Tiki Trading,available,1000.0,False,True,True
276944801,Sách Bút Ký Lính Tăng: Hành Trình Đến Dinh Độc Lập (Tái bản năm 2024),137000,185000,26,5.0,5,64,Nguyễn Khắc Nguyệt,NXB Trẻ,NXB Trẻ,,Bìa mềm,444.0,,Tiki Trading,available,1000.0,False,True,True
