id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279166631,Mong Manh Hoa Tuyết - Tanizaki Junichiro,268000,380000,29,0.0,0,3,Tanizaki Junichiro,Tao Đàn,Nhà xuất bản Kinh tế tài chính,,Bìa mềm tay gấp,520.0,2026-02-06,Tiki Trading,available,1000.0,False,True,True
279094415,Phù Sinh Lục Ký (2026),120000,150000,20,0.0,0,30,Thẩm Phục,Tao Đàn,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm tay gấp,254.0,2026-01-15,sách tao đàn,available,1000.0,True,True,True
278998287,Sách Những Chủ Nhật Của Một Thị Dân Paris,99330,129000,23,4.7,3,55,Guy De Maupassant,Nhã Nam,Nhà Xuất Bản Văn Học,,Bìa mềm,304.0,,Tiki Trading,available,1000.0,False,True,True
278873317,Combo 2 cuốn Mạc Ngôn: ĐÀN HƯƠNG HÌNH + BÁU VẬT CỦA ĐỜI – Bìa cứng – Tác giả đoạt giải Nobel văn chương 2012 – Trần Đình Hiến dịch – Huy Hoàng Bookstore,450000,650000,31,0.0,0,53,Mạc Ngôn,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa cứng,1280.0,,Tiki Trading,available,1000.0,False,True,True
278619742,Sách Danh Tác Thế Giới Lầy Lội,160160,208000,23,0.0,0,28,Trần Lỗi,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,346.0,,Tiki Trading,available,1000.0,False,True,True
278170006,Sách Cội Rễ (Bìa Mềm),292600,380000,23,5.0,13,126,Alex Haley,Hải Đăng,Nhà Xuất Bản Văn Học,,Bìa mềm,936.0,,Tiki Trading,available,1000.0,False,True,True
277921614,[Sách] Tuyển tập Chekhov - Anton Chekhov - Sách Tao Đàn,304000,380000,20,5.0,3,33,Anton Chekhov,Tao Đàn,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm tay gấp,586.0,2025-05-06,sách tao đàn,available,1000.0,True,True,True
277381898,Sách Nhà tài phiệt cuối cùng,101000,135000,25,5.0,5,80,F. Scott Fitzgerald,NXB Trẻ,NXB Trẻ,,Bìa mềm,304.0,2025-03-04,Tiki Trading,available,1000.0,False,True,True
277381891,Sách Chân dung một cuộc hôn nhân,99000,135000,27,5.0,7,83,Pearl S. Buck,NXB Trẻ,NXB Trẻ,,Bìa mềm,296.0,2025-03-04,Tiki Trading,available,1000.0,False,True,True
277008730,Sách Bá tước Monte Cristo,157000,235000,33,4.8,20,141,Alexandre Dumas,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa cứng,656.0,2025-01-15,Tiki Trading,available,1000.0,False,True,True
276933741,Sách Trà hoa nữ,59000,86000,31,4.7,7,59,Alexandre Dumas,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa mềm,276.0,2025-01-13,Tiki Trading,available,1000.0,False,True,True
276933583,Sách Cuốn Theo Chiều Gió,184000,265000,31,5.0,47,110,Margaret Mitchell,Nhà sách Minh Thắng,Nhà Xuất Bản Văn Học,,Bìa cứng,920.0,2022-01-01,Tiki Trading,available,1000.0,False,True,True
276750755,Sách TỘI ÁC VÀ HÌNH PHẠT,304000,399000,24,5.0,105,258,Fyodor Dostoevsky,Phương Nam Book,Nhà Xuất Bản Văn Học,,Bìa cứng,726.0,2023-06-06,Tiki Trading,available,1000.0,False,True,True
276526058,Sách Jane Eyre,153000,225000,32,5.0,34,185,Charlotte Bronte,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Văn Học,,,764.0,2024-05-31,Tiki Trading,available,1000.0,False,True,True
276019606,Sách Không Gia Đình (Tái Bản),146000,215000,32,5.0,183,355,Hector Malot,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa mềm,612.0,2021-11-01,Tiki Trading,available,1000.0,False,True,True
275946529,Sách Những Tấm Lòng Cao Cả,111200,139000,20,5.0,26,319,Edmondo De Amicis,Bookland,Nhà Xuất Bản Dân Trí,,Bìa mềm,392.0,,Tiki Trading,available,1000.0,False,True,True
275335283,Sách Xứ tuyết,86240,112000,23,4.6,23,347,Kawabata Yasunari,Nhã Nam,Nhà Xuất Bản Văn Học,,Bìa mềm,186.0,,Tiki Trading,available,1000.0,False,True,True
274923685,"Combo Những người khốn khổ (3 quyển - tập 1, 2 ,3)",372000,545000,32,5.0,26,171,Victor Hugo,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Văn Học,,Bìa mềm,652.0,2024-05-02,Tiki Trading,available,1000.0,False,True,True
274242104,Sách Bắt trẻ đồng xanh,77000,100000,23,4.8,13,339,J. D. Salinger,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,328.0,,Tiki Trading,available,1000.0,False,True,True
273119666,Sách Bố Già - Bìa Mềm,149000,230000,35,4.8,172,791,Mario Puzo,Đông A,Nhà Xuất Bản Văn Học,,Bìa mềm,644.0,2022-07-07,Tiki Trading,available,1000.0,False,True,True
272057413,Sách Thần thoại Bắc Âu – Văn xuôi Edda và thơ Edda,149000,200000,26,5.0,4,47,Peter Andreas Munch,Công Ty TNHH Sách Và Truyền Thông Việt Nam,Nhà Xuất Bản Thanh Niên,,Bìa mềm,396.0,2023-09-15,Tiki Trading,available,1000.0,True,True,True
263391841,Sách Hai Vạn Dặm Dưới Biển,90000,99000,9,4.8,101,407,Jules Verne,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,452.0,2019-07-01,Tiki Trading,available,1000.0,False,True,True
263109178,Sách Những Tấm Lòng Cao Cả (Bìa Cứng) (Tái Bản),94000,135000,30,4.8,5,37,Edmondo De Amicis,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa cứng,368.0,2023-06-22,Tiki Trading,available,1000.0,False,True,True
263068391,Sách Faust - Johann WolfGang Von Goethe,154000,200000,23,5.0,41,379,Johann Wolfgang von Goethe,Nhã Nam,Nhà Xuất Bản Văn Học,,Bìa mềm,604.0,2015-02-12,Tiki Trading,available,1000.0,False,True,True
253471984,Sách Tây du ký (bìa cứng) (trọn bộ 2 tập),268800,420000,36,4.8,17,132,Ngô Thừa Ân,Nhà sách Minh Thắng,Nhà Xuất Bản Văn Học,,Bìa cứng,2384.0,2022-02-01,Tiki Trading,available,1000.0,False,True,True
253398071,Sách Thần Thoại Hy Lạp,199000,295000,33,4.8,27,262,Nguyễn Văn Khỏa,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa cứng,716.0,2023-05-13,Tiki Trading,available,1000.0,False,True,True
219148748,Sách Chú bé mang Pyjama sọc,81000,102000,21,5.0,157,1694,John Boyne,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,253.0,2023-02-02,Tiki Trading,available,1000.0,False,True,True
205694855,Sách Đồi Gió Hú (Bìa Mềm) - Tái Bản,78800,105000,25,4.5,2,85,Emily Bronte,Nhà sách Minh Thắng,Nhà Xuất Bản Văn Học,,Bìa mềm,484.0,2022-08-08,Tiki Trading,available,1000.0,False,True,True
