id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279133650,"(Bìa mềm, Tái bản 2026) THƠ – TRẦN DẦN – Nhã Nam",279000,279000,0,0.0,0,4,Trần Dần,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,530.0,,BÌNH BÁN BOOK,available,1000.0,True,True,True
279112374,Sách - Nghìn Nghi Lễ Tình,82800,92000,10,0.0,0,6,Nhật Chiêu,PHANBOOK,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279066345,"(Bìa cứng, tặng kèm bookmark) TUYỂN TẬP THƠ XUÂN DIỆU - Xuân Diệu – Thảo Nguyên Kiseki",169000,169000,0,0.0,0,2,Xuân Diệu,CÔNG TY TNHH VĂN HÓA VÀ TRUYỀN THÔNG THẢO NGUYÊN,Nhà Xuất Bản Văn Học,,Bìa cứng áo ôm,256.0,,BÌNH BÁN BOOK,available,1000.0,True,True,True
279059046,Sách - Truyện Kiều Hội Bản - Bìa Cứng,269100,299000,10,0.0,0,11,nhieu tac gia,Thái Hà,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
279056228,Truyện Kiều Hội Bản Nguyễn Du - Bản Nôm Của Hoàng Gia Triều Nguyễn,225800,299000,24,5.0,1,19,Nhiều tác giả,Thái Hà,Nhà Xuất Bản Hà Nội,,,324.0,2025-12-30,Tiki Trading,available,1000.0,False,True,True
278959813,Sách - Sách Tết Bính Ngọ 2026 - Hợp Tuyển Văn Thơ Nhạc Hoạ Chủ Đề Mùa Xuân Và Ngày Tết - Ấn Bản Giới Hạn - Bìa Cứng - Tặng Kèm Hộp Sơn Mài + Tranh Sơn Mài,1372000,1400000,2,5.0,1,11,Hồ Anh Thái,dong a,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278894059,"Sách Mình Chia Tay Rồi, Có Nhớ Không?",55200,92000,40,5.0,3,36,Lavende.,Wavebooks,Nhà Xuất Bản Văn Học,,Bìa mềm,192.0,,Tiki Trading,available,1000.0,False,True,True
278728441,Tôi Đã Đặt Tên Em Cho Thành Phố,76230,99000,23,0.0,0,2,Thơ từ nhiều tác giả,Glow Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,240.0,2025-10-11,Tiki Trading,available,1000.0,False,True,True
278567932,Sách Than Ấm Bừng Lên,79000,105000,25,4.0,5,67,Lam,Skybooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,168.0,2025-08-29,Tiki Trading,available,1000.0,False,True,True
278496227,Sách Lịch Sử Nước Ta,87000,89000,2,0.0,0,6,"Hồ Chí Minh, Lê Minh Hải",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,76.0,2025-08-16,Tiki Trading,available,1000.0,False,True,True
277410782,Hát Ru Việt Nam Tuyển Chọn ,79500,106000,25,0.0,0,1,Minh Anh,VIETNAMBOOK,Nhà Xuất Bản Hồng Đức,,Bìa mềm tay gấp,192.0,2025-02-26,VIETNAMBOOK,available,1000.0,True,True,True
277341871,Mẹ tôi (thơ),120000,120000,0,5.0,4,27,nhieu tac gia,Công ty TNHH truyền thông và giải trí Book Hunt,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm tay gấp,152.0,,Book Hunt,available,1000.0,True,True,True
277135732,Sách Ngày Ấy Buông Tay Hóa Ra Là Chuyện Tốt,84000,105000,20,5.0,2,121,23thang12,Skybooks,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,240.0,2025-05-01,Tiki Trading,available,1000.0,False,True,True
276619206,Sách Có Một Mùa Hè Chưa Từng Lãng Quên,96000,120000,20,0.0,0,30,nhieu tac gia,Blue.Books,Nhà Xuất Bản Văn Học,,Bìa mềm,216.0,2024-11-21,Tiki Trading,available,1000.0,False,True,True
275854795,Lá hoa cồn - Thơ Bùi Giáng - Mới tái bản T7/2024,155000,155000,0,0.0,0,8,Bùi Giáng,Thư Quán Hương Tích,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,,,Thư quán Hương Tích,available,1000.0,True,True,True
275587692,Sách Thơ Xuân Quỳnh,34000,42000,19,5.0,3,77,Xuân Quỳnh,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Văn Học,,Bìa mềm,140.0,,Tiki Trading,available,1000.0,False,True,True
275091498,"Con Thuyền Say - Tuyển thơ dịch: Arthur Rimbaud, A. Puskin, Hermann Hesse, R. Tagore, W. Shakespeare, Henrich Heine, Beltolt Brecht, Olga Berggoltz...Phạm Ngọc Liên tuyển chọn và dịch",168000,168000,0,5.0,3,27,"Hermann Hesse, Shakespeare William, Alecxander Puskin, Rabindranath Tagore, Shakespeare, Hermann Hesse,  A. Puskin, Rabindranath Tagore, Wiliam Shakespeare",An Nam Books,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,330.0,2024-05-01,SÁCH ĐẠI NAM,available,1000.0,True,True,True
274730563,Sách Thơ Tố Hữu,46000,55000,16,5.0,6,128,Tố Hữu,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Văn Học,,Bìa mềm,220.0,2024-04-09,Tiki Trading,available,1000.0,False,True,True
