id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279260332,Sách - Hồ Sơ Lửa - Tập 1 Đến Tập 6,118000,118000,0,0.0,0,10,Lại Văn Long,SBOOKS,Nhà Xuất Bản Công An Nhân Dân,,Bìa mềm,436.0,,Nhân Văn,available,1000.0,True,True,True
279229625,Phong Nhã Tụng - Diêm Liên Khoa,300000,380000,21,1.0,1,7,Diêm Liên Khoa,Tao Đàn,Nhà Xuất Bản Văn Học,,Bìa mềm tay gấp,452.0,2026-03-16,Tiki Trading,available,1000.0,False,True,True
279229251,Sách Loạn Nhịp Vì Người (Tập 2),153750,205000,25,5.0,3,16,Mẫn Nhiên,Moon Novels,Nhà Xuất Bản Hà Nội,,,512.0,,Tiki Trading,available,1000.0,False,True,True
279163497,Sách Bài Học Tiếng Hy Lạp,94250,145000,35,5.0,3,34,Han Kang,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,222.0,,Tiki Trading,available,1000.0,False,True,True
279008338,Tạc Liệt Chí - Diêm Liên Khoa,272000,380000,28,0.0,0,30,Diêm Liên Khoa,Tao Đàn,Nhà Xuất Bản Văn Học,,Bìa mềm tay gấp,491.0,2025-12-26,Tiki Trading,available,1000.0,False,True,True
278961008,(Combo 3 cuốn) KHI KÝ ỨC CÒN CHƯA PHAI NHẠT; KHI LỜI NÓI DỐI CÒN CHƯA LỘ DIỆN; KHI TÁCH CÀ PHÊ CÒN CHƯA NGUỘI - Toshikazu Kawaguchi – NXB Trẻ,326000,415000,21,0.0,0,34,Toshikazu Kawaguchi,NXB Trẻ,NXB Trẻ,,Bìa mềm,876.0,,Tiki Trading,available,1000.0,False,True,True
278959655,KHI KÝ ỨC CÒN CHƯA PHAI NHẠT - Toshikazu Kawaguchi – Bảo Chương dịch – NXB Trẻ,119000,150000,21,5.0,8,85,Toshikazu Kawaguchi,NXB Trẻ,NXB Trẻ,,Bìa mềm,328.0,,Tiki Trading,available,1000.0,False,True,True
278959516,KHI LỜI NÓI DỐI CÒN CHƯA LỘ DIỆN  - Toshikazu Kawaguchi – Khuê Tú dịch – NXB Trẻ,92000,120000,23,5.0,7,101,Toshikazu Kawaguchi,NXB Trẻ,NXB Trẻ,,Bìa mềm,248.0,,Tiki Trading,available,1000.0,False,True,True
278959496,KHI TÁCH CÀ PHÊ CÒN CHƯA NGUỘI - Toshikazu Kawaguchi – Bảo Chương dịch – NXB Trẻ,112000,145000,23,5.0,8,142,Toshikazu Kawaguchi,NXB Trẻ,NXB Trẻ,,Bìa mềm,320.0,,Tiki Trading,available,1000.0,False,True,True
278944390,Ngựa Bon - Yukio Mishima,254000,380000,33,0.0,0,35,Yukio Mishima,Tao Đàn,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm tay gấp,478.0,2025-12-08,Tiki Trading,available,1000.0,False,True,True
278901566,Sách Đời Gió Bụi,156000,240000,35,4.8,12,296,Nguyễn Phan Quế Mai,Nhã Nam,Nhà Xuất Bản Phụ Nữ,,,500.0,,Tiki Trading,available,1000.0,False,True,True
278872225,Sách Đàn Hương Hình,175000,260000,33,4.6,18,196,Mạc Ngôn,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa cứng,504.0,2025-11-24,Tiki Trading,available,1000.0,False,True,True
278872177,Sách Báu Vật Của Đời,264000,390000,32,5.0,27,308,Mạc Ngôn,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa cứng,776.0,2025-11-24,Tiki Trading,available,1000.0,False,True,True
278872151,Sách Lũng Tây Nổi Gió,191730,249000,23,4.6,15,173,Mã Bá Dung,VIVABOOKS,Nhà Xuất Bản Văn Học,,Bìa mềm,536.0,2025-11-26,Tiki Trading,available,1000.0,False,True,True
278856619,Sách Cô Bé Hàng Xóm Và Bốn Viên Kẹo (Nguyễn Nhật Ánh) - 2 phiên bản & quà tặng kèm,89000,115000,23,5.0,49,753,Nguyễn Nhật Ánh,NXB Trẻ,NXB Trẻ,,,240.0,2025-11-28,Tiki Trading,available,1000.0,False,True,True
278715265,Sách Hà Thanh Hải Yến - Ngang Qua Ngõ Nhỏ Bình An,123500,196000,37,5.0,3,35,Quất Tử Bất Toan,Linh Lan Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,324.0,,Tiki Trading,available,1000.0,False,True,True
278612158,Hiệu Sách Ma Mị,92400,120000,23,5.0,10,53,So Seorim,Blue.Books,Nhà Xuất Bản Văn Học,,Bìa mềm,320.0,2025-09-11,Tiki Trading,available,1000.0,False,True,True
278451455,Sách Hoàng Đế Xứ Gladness - Ocean Vuong,162500,250000,35,5.0,17,242,Ocean Vuong,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,564.0,,Tiki Trading,available,1000.0,False,True,True
278373262,Sách Tiểu Thuyết Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn,54000,55000,2,5.0,2,12,"Gosho Aoyama, Shima Mizuki, Takeharu Sakurai",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,232.0,2025-07-25,Tiki Trading,available,1000.0,False,True,True
278275156,Chào Mừng Bạn Đến Hiệu Sách Hyunam-dong,135216,190000,29,5.0,6,60,Hwang Bo-reum,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,424.0,,Tiki Trading,available,1000.0,False,True,True
278159875,Sách Người Ăn Chay,108000,150000,28,4.7,30,448,Han Kang,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
278101824,Sách Thuyền,86400,128000,33,4.6,17,253,Nguyễn Đức Tùng,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,372.0,,Tiki Trading,available,1000.0,False,True,True
271219230,Sách Chiến tranh không có một khuôn mặt phụ nữ (Tái bản),120000,180000,33,4.7,111,1236,Svetlana Alexievich,Tao Đàn,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,464.0,2023-08-08,Tiki Trading,available,1000.0,False,True,True
196280107,Nỗi Buồn Chiến Tranh (Tái Bản 2022),113100,130000,13,4.8,37,534,Bảo Ninh,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
192875870,Sách Con nhà nghèo (TB),119000,150000,21,5.0,3,43,Hồ Biểu Chánh,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Văn Hóa - Văn Nghệ TP.HCM,,Bìa mềm,260.0,2020-01-01,Tiki Trading,available,1000.0,False,True,True
190707634,Sách Chết giữa mùa hè,156000,235000,34,4.7,46,381,Yukio Mishima,Tao Đàn,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,326.0,2020-07-01,Tiki Trading,available,1000.0,False,True,True
172154901,Ngày Tháng Năm,96000,120000,20,5.0,31,394,Diêm Liên Khoa,Tao Đàn,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,180.0,2022-03-25,sách tao đàn,available,1000.0,True,True,True
147920903,Sách Một Thoáng Ta Rực Rỡ Ở Nhân Gian,97037,135000,28,4.8,2084,15425,Ocean Vuong,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,304.0,2021-12-01,Tiki Trading,available,1000.0,False,True,True
