id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278860289,Sách Nguyễn Nhật Ánh - Cô Bé Hàng Xóm Và Bốn Viên Kẹo - Bìa Cứng - Tặng Kèm Random 1 Trong 4 Mẫu Bookmark + Sticker + Sổ Vẽ,160000,200000,20,5.0,13,203,Nguyễn Nhật Ánh,NXB Trẻ,NXB Trẻ,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278860287,Sách Nguyễn Nhật Ánh - Cô Bé Hàng Xóm Và Bốn Viên Kẹo - Tặng Kèm Random 1 Trong 4 Mẫu Bookmark + Sticker,92000,115000,20,4.7,22,316,Nguyễn Nhật Ánh,NXB Trẻ,NXB Trẻ,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278817070,Sách Đâu Đó Ngoài Khơi Xa - Phần Tiếp Theo Của Ngôi Nhà Bên Bờ Biển Xanh Thẳm,176330,229000,23,5.0,10,126,TJ.Klune,AsNovel,Nhà Xuất Bản Văn Học,,Bìa mềm,704.0,2025-11-05,Tiki Trading,available,1000.0,False,True,True
278691939,Sách Khi Đàn Sếu Bay Về Phương Nam,130130,169000,23,5.0,14,235,Lisa Ridzén,Rubik Việt Nam,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,344.0,2025-09-26,Tiki Trading,available,1000.0,False,True,True
278632669,Sách Nhiệt Đới Buồn,209300,270000,22,5.0,2,42,Claude Lévi-Strauss,Omega Plus,Nhà Xuất Bản Tri Thức,,Bìa mềm,472.0,,Tiki Trading,available,1000.0,False,True,True
278516481,Sách Kiêu Hãnh Và Định Kiến,144000,215000,33,5.0,14,103,Jane Austen,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa cứng,536.0,2025-08-25,Tiki Trading,available,1000.0,False,True,True
278377639,Sách Sứ Mệnh Hail Mary – Project Hail Mary,160930,209000,23,4.8,53,573,Andy Weir,AsNovel,Nhà Xuất Bản Văn Học,,Bìa mềm,592.0,2025-07-30,Tiki Trading,available,1000.0,False,True,True
278373261,Combo Aristotle Và Dante (2 Cuốn) [Tặng 02 Postcard],229000,260000,12,5.0,4,23,Benjamin Alire Saenz,Wings Books,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,2025-07-25,Tiki Trading,available,1000.0,False,True,True
278275295,Sách Chiến Binh Cầu Vồng (Tái Bản),87750,135000,35,4.6,416,527,Andrea Hirata,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,,2017-09-01,Tiki Trading,available,1000.0,False,True,True
278170058,Sách Đứa Trẻ Cát,101400,169000,40,5.0,1,35,Tahar Ben Jelloun,Hải Đăng,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,244.0,,Tiki Trading,available,1000.0,False,True,True
277599506,Sách Đôi mắt của Mona,219700,338000,35,4.6,25,445,Thomas schlesser,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,450.0,2025-03-13,Tiki Trading,available,1000.0,False,True,True
277539447,Sách Về với gia đình,66000,100000,34,5.0,9,137,Hector Malot,Công Ty Cổ Phần Văn Hóa Đông A,Nhà Xuất Bản Văn Học,,Bìa mềm,316.0,,Tiki Trading,available,1000.0,False,True,True
277165439,Sách Miếng Ăn Nhà Người - Henri Troyat,83000,110000,25,5.0,4,45,Henri Troyat,NXB Trẻ,NXB Trẻ,,Bìa mềm,236.0,2025-01-22,Tiki Trading,available,1000.0,False,True,True
276826014,Sách Cô Gái Mù Chữ Phá Bom Nguyên Tử,154000,205000,25,4.8,359,68,Jonas Jonasson,NXB Trẻ,NXB Trẻ,,Bìa mềm,524.0,2019-03-15,Tiki Trading,available,1000.0,False,True,True
276799236,Sách A Knight of the Seven Kingdoms – Hiệp Sĩ Bảy Vương Quốc,159400,229000,30,5.0,10,89,George R.R. Martin,1980 Books,Nhà Xuất Bản Thanh Niên,,Bìa mềm,536.0,2024-12-13,Tiki Trading,available,1000.0,False,True,True
276562878,Sách Bông hồng vàng & Bình minh mưa,127000,195000,35,5.0,10,100,K. G. Paustovsky,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Văn Học,,Bìa mềm,564.0,2024-10-28,Tiki Trading,available,1000.0,False,True,True
275962493,Sách Cánh cửa mở rộng. Núi thần Tập 1+2,402000,550000,27,4.8,32,227,Thomas Mann,NXB Trẻ,NXB Trẻ,,Bìa mềm,,2024-08-17,Tiki Trading,available,1000.0,False,True,True
275926326,Sách Gã hề Chicot,210000,320000,34,5.0,34,276,Harriet Beecher Stowe,Công Ty Cổ Phần Văn Hóa Huy Hoàng,Nhà Xuất Bản Văn Học,,Bìa cứng,676.0,2024-08-29,Tiki Trading,available,1000.0,False,True,True
274828148,Sách Moses và Độc thần giáo,93600,130000,28,4.8,6,122,Sigmund Freud,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2024-01-03,Tiki Trading,available,1000.0,False,True,True
273356634,"Sách Thế Giới Tươi Đẹp, Người Ở Đâu",99900,135000,26,5.0,14,195,Sally Rooney,NXB Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,344.0,,Tiki Trading,available,1000.0,False,True,True
249875509,Sách Sherlock Holmes Trọn Bộ 3 Tập,304000,450000,32,4.7,39,311,Sir Arthur Conan Doyle,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa mềm,2004.0,2023-04-04,Tiki Trading,available,1000.0,False,True,True
249875170,Sách Hai số phận (bìa cứng),194000,295000,34,5.0,370,2819,Jeffrey Archer,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa cứng,768.0,2023-03-14,Tiki Trading,available,1000.0,False,True,True
249875150,Sách Hai số phận (bìa mềm),173000,255000,32,5.0,201,2114,Jeffrey Archer,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa mềm,768.0,2023-03-14,Tiki Trading,available,1000.0,False,True,True
202661687,Sách Sông Đông Êm Đềm (Trọn Bộ 2 Tập),367000,550000,33,4.8,63,361,Mikhail Sholokhov,Huy Hoàng Bookstore,Nhà Xuất Bản Văn Học,,Bìa mềm,695.0,2020-01-01,Tiki Trading,available,1000.0,False,True,True
192862933,Sách Chùm Nho Thịnh Nộ (Tái Bản),231000,350000,34,4.6,54,393,John Steinbeck,Tao Đàn,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,508.0,2022-07-07,Tiki Trading,available,1000.0,False,True,True
176909221,Sách Ngôi Nhà Bên Bờ Biển Xanh Thẳm,153230,199000,23,5.0,531,3792,T.J.Klune,Asbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,640.0,2022-04-30,Tiki Trading,available,1000.0,False,True,True
137442928,Cây Cam Ngọt Của Tôi,54000,108000,50,0.0,0,9,,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,,,NHBook,available,1000.0,True,True,True
136941156,Sách Sau Anh (After You),141000,190000,26,5.0,23,179,Jojo Moyes,NXB Trẻ,NXB Trẻ,,Bìa mềm,536.0,2021-11-11,Tiki Trading,available,1000.0,False,True,True
117595535,Sách Kẻ Ngoại Cuộc,108000,150000,28,4.8,389,2172,Albert Camus,Nhã Nam,Nhà Xuất Bản Dân Trí,,Bìa cứng,170.0,2021-08-15,Tiki Trading,available,1000.0,False,True,True
109765020,Sách Siddhartha (Tái Bản 2021),66900,72000,7,5.0,11,58,"Hermann Hesse, Hermann Hesse",Nhã Nam,Nhà Xuất Bản Văn Học,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
74021317,Sách Cây Cam Ngọt Của Tôi,95000,108000,12,5.0,658,4950,José Mauro de Vasconcelos,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,244.0,,Nhà sách Fahasa,available,1000.0,True,True,True
73207240,Sách Xa Ngoài Kia Nơi Loài Tôm Hát - Where The Crawdads Sing,145200,165000,12,4.8,40,140,Delia Owens,NXB Trẻ,NXB Trẻ,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
57354850,Sách Những Con Chim Ẩn Mình Chờ Chết (Tái Bản 2020),142400,160000,11,5.0,45,250,Colleen Mccullough,NXB Trẻ,NXB Trẻ,,Bìa mềm,568.0,,Nhà sách Fahasa,available,1000.0,True,True,True
56609155,Sách Trường Ca Achilles (Quà Tặng Kèm: 01 Bookmark + 01 Phụ Lục),135700,156000,13,5.0,205,738,Madeline Miller,Wings Books,Nhà Xuất Bản Kim Đồng,,Bìa mềm,444.0,,Nhà sách Fahasa,available,1000.0,True,True,True
48629558,Sách Khi Lỗi Thuộc Về Những Vì Sao (Tái Bản),110400,120000,8,5.0,72,184,John Green,NXB Trẻ,NXB Trẻ,,Bìa mềm,364.0,2020-02-02,Nhà sách Fahasa,available,1000.0,True,True,True
40429230,Sách Ba Ơi Mình Đi Đâu (Tái Bản 2019),52000,52000,0,0.0,0,0,Jean–Louis Fournier,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,178.0,2019-11-01,HỆ THỐNG NHÀ SÁCH ABC,available,1000.0,True,True,True
10866303,Sách Agatha Christie - Vụ Ám Sát Ông Roger Ackroyd (Tái Bản),111000,150000,26,4.8,207,2512,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,360.0,2019-02-01,Tiki Trading,available,1000.0,False,True,True
10227724,Sách Cây Bách Buồn (Tái Bản),104500,110000,5,5.0,40,128,Agatha Christie,NXB Trẻ,,,Bìa mềm,308.0,2019-01-01,Nhà sách Fahasa,available,1000.0,True,True,True
1647103,Sách Bà Ngoại Tôi Gửi Lời Xin Lỗi,142000,190000,25,4.8,118,1681,Fredrik Backman,NXB Trẻ,NXB Trẻ,,Bìa mềm,514.0,2018-01-03,Tiki Trading,available,1000.0,False,True,True
997535,Sách Gọi Em Bằng Tên Anh - Call Me By Your Name,82000,115000,29,4.8,840,9226,André Aciman,NXB Trẻ,NXB Trẻ,,Bìa mềm,316.0,,Tiki Trading,available,1000.0,False,True,True
278819422,Sách Mê Cung Cô Độc,120093,170000,29,5.0,2,42,Otavio Paz,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,324.0,,Tiki Trading,available,1000.0,False,True,True
278756939,Sách Hiệu Sách Thất Lạc,163910,235000,30,5.0,2,53,EVIE WOODS,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,408.0,,Tiki Trading,available,1000.0,False,True,True
278607288,Bất Khuất - William Faulkner,144000,180000,20,5.0,2,20,William Faulkner,Tao Đàn,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,282.0,2025-09-06,sách tao đàn,available,1000.0,True,True,True
278487727,Sách Tiểu Thuyết Lịch Sử: Vạn Xuân,192500,275000,30,0.0,0,44,Yveline Feray,Nhà xuất bản Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,532.0,,Tiki Trading,available,1000.0,False,True,True
278017462,Sách - Hà Thanh Hải Yến - Ngang Qua Ngõ Nhỏ Bình An,160700,196000,18,5.0,5,41,Quất Tử Bất Toan,Đang cập nhật,Đang cập nhật,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
278016988,Sách - Co-Intelligence - Trí Tuệ Đồng Hành - Kỷ Nguyên Sống Và Làm Việc Cùng AI,146300,190000,23,0.0,0,52,Ethan Mollick,Saigon Books,Nhà Xuất Bản Thế Giới,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
277997247,Sách Ba Đứa Trẻ Và Người Thủ Thư Tốt Bụng,115500,179000,35,5.0,16,212,Kate Albus,1980 Books,Nhà Xuất Bản Lao Động,,Bìa mềm,,,Tiki Trading,available,1000.0,False,True,True
277836869,Sách - Hồ Điệp Và Kình Ngư,116200,155000,25,5.0,8,85,Tuế Kiến,Đinh Tị,Nhà Xuất Bản Văn Học,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000.0,True,True,True
