id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278883732,Sách Thời niên thiếu của Bác Hồ (Xuất bản lần thứ hai),59000,59000,0,0.0,0,1,nhieu tac gia,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,Nhà Xuất Bản Chính Trị Quốc Gia Sự Thật,,,,,Hiệu Sách Tự Do,available,1000.0,True,True,True
277873744,Truyện tranh Mashle lẻ Tập (1 -> 18) -  Chang Book,39000,39000,0,0.0,0,0,,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,200.0,2024-11-01,Changs Book,available,1000.0,True,True,True
275108642,Truyện Tây Du Hí (Tập 7),119000,119000,0,0.0,0,10,,AZ Việt Nam,Nhà Xuất Bản Phụ Nữ,,,,,Bamboo Books,available,1000.0,True,True,True
275057834,Bộ Sách Gấu Bon,41400,45000,8,0.0,0,1,Delphine Perret,NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,52.0,2024-05-05,Tiki Trading,available,1000.0,False,True,True
272243839,Veil - Tập 4 : Vết Bỏng Trong Veo,129000,129000,0,0.0,0,3,Koterri!,Công ty Cổ Phần ZGroup,ha noi,,Bìa mềm,132.0,2023-09-20,Bảo Châu Books,available,1000.0,True,True,True
272134950,Truyện tranh - Sanctify - Tập 1,109000,109000,0,0.0,0,2,GODSSTATION,Công ty Cổ Phần ZGroup,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,216.0,2021-09-30,Bảo Châu Books,available,1000.0,True,True,True
270768957,Combo 11 Tập: Người Bà Tài Giỏi Vùng Saga,457600,572000,20,5.0,41,584,"Yoshichi Shimada, Saburo Ishikawa",SkyComics,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,2500.0,2023-01-01,Tiki Trading,available,1000.0,False,True,True
262454614,Sách Những Con Mèo Ở Tử Cấm Thành (Tập 3),103200,129000,20,5.0,23,184,Nhiều tác giả,Meibooks,Nhà Xuất Bản Dân Trí,,Bìa mềm,168.0,2023-05-31,Tiki Trading,available,1000.0,False,True,True
249156893,Sách Con Gái Ông Trùm Và Anh Chàng Bảo Mẫu (Tập 1),62100,69000,10,5.0,4,88,Tsukiya,Mori Manga,Nhà Xuất Bản Thế Giới,,Bìa mềm,200.0,2023-04-04,Tiki Trading,available,1000.0,False,True,True
248380411,Sách HOW TO HATE MATE (TẬP 1),108120,159000,32,5.0,9,54,Reck,Nekobooks,Nhà Xuất Bản Hà Nội,,Bìa mềm,264.0,2023-03-01,Tiki Trading,available,1000.0,False,True,True
242770600,Sách Người Bà Tài Giỏi Vùng SaGa - Tập 10,43300,52000,17,4.7,93,1206,"Yoshichi Shimada, Saburo Ishikawa",SkyComics,Nhà Xuất Bản Thế Giới,,Bìa mềm,194.0,2023-03-01,Tiki Trading,available,1000.0,False,True,True
207774669,"Sách Trái Đất - Sự Vận Hành Tự Nhiên - Vẻ Đẹp Của Trái Đất, Các Sự Biến Đổi Và Lịch Sử Hình Thành Của Trái Đất - Á Châu Books, Bìa Cứng, In Màu",346500,495000,30,0.0,0,27,nhieu tac gia,Công ty cổ phần đầu tư và phát triển giáo dục quốc tế Á Châu,Nhà Xuất Bản Lao Động,,Bìa cứng,256.0,,Hiệu sách Gen books,available,1000.0,True,True,True
202895295,Sách Đời Về Cơ Bản Là Buồn Cười,61887,90000,31,4.8,19,269,"Caroline De Maigret, Sophie Mas",Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,162.0,2022-11-11,Tiki Trading,available,1000.0,False,True,True
190455922,Khủng Hoảng Rô Bốt - Truyện Tranh Tri Thức Khoa Học,97000,129000,25,0.0,0,1,"Kazuto SANJO, Yuki IMADA",Thái Hà,Nhà Xuất Bản Hà Nội,,Bìa mềm,196.0,2022-07-08,THAIHABOOKS,available,1000.0,True,True,True
190455532,Khủng Hoảng Về Đại Dương Và Môi Trường Toàn Cầu - Truyện Tranh Tri Thức Khoa Học,97000,129000,25,0.0,0,2,"Yasunori Okada, Yasukazu KOYA",Thái Hà,Nhà Xuất Bản Hà Nội,,Bìa mềm,193.0,2022-07-08,THAIHABOOKS,available,1000.0,True,True,True
189172372,Tri Thức Kinh Điển Bằng Tranh - Của Cải Của Các Dân Tộc,229000,229000,0,0.0,0,3,Li Xiaopeng,Alpha Books,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,160.0,2021-10-21,info book,available,1000.0,True,True,True
186191713,PRE-ORDER-Chú Thuật Hồi Chiến - Tập 4 - Bản Thường,30000,30000,0,5.0,178,631,, NXB Kim Đồng,Nhà Xuất Bản Kim Đồng,,,,,Nhà sách Fahasa,available,1000.0,True,True,True
169621651,Sách Nam Đình Cốc Vi - Tập 6,78500,109000,28,5.0,92,332,Mặc Phi,Uranix,Nhà Xuất Bản Hà Nội,,Bìa mềm,212.0,2022-03-17,Tiki Trading,available,1000.0,False,True,True
169606793,Sách Yêu Quái Nhỏ Vận Áo Tấc Xanh – Tập 2,87200,109000,20,4.8,218,516,Ivangift,SkyComics,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,168.0,2022-03-03,Tiki Trading,available,1000.0,False,True,True
167047227,Thủy Hử - Truyện tranh (Trọn bộ 20 quyển),290400,968000,70,4.8,10,96,Thi Nại Am,Khang Việt Book,Nhà Xuất Bản Văn Học,,Bìa mềm,,2022-01-20,khangvietbook,available,1000.0,True,True,True
166437164,TÂY DU KÝ - Truyện Tranh (Trọn bộ 21 Quyển),290400,968000,70,4.3,11,140,Ngô Thừa Ân,Khang Việt Book,Nhà Xuất Bản Văn Học,,Bìa mềm,,,khangvietbook,available,1000.0,True,True,True
151994935,Sách Sói Đầu Đàn Và Cún Nhỏ - Tập 1,102400,128000,20,5.0,1505,3646,Ma Vĩ,Daisy Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,176.0,2021-12-12,Tiki Trading,available,1000.0,False,True,True
142833449,Sách Sanctify - Tập 2,76300,109000,30,5.0,546,1253,GODSSTATION,Uranix,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,236.0,2021-11-11,Tiki Trading,available,1000.0,False,True,True
142833447,Sách Sanctify - Tập 3,87300,109000,20,5.0,512,1219,GODSSTATION,Uranix,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,248.0,2021-11-11,Tiki Trading,available,1000.0,False,True,True
130416595,Sách Mèo Mốc Black Book - tập 2,36000,45000,20,5.0,93,545,Mèo Mốc,SkyComics,Nhà Xuất Bản Dân Trí,,Bìa mềm,104.0,2021-10-01,Tiki Trading,available,1000.0,False,True,True
125009505,Nam Đình Cốc Vi - Tập 5 (Truyện Tranh Dành Cho Lứa Tuổi 15+),85700,119000,28,5.0,190,512,Mặc Phi,Uranix,Nhà Xuất Bản Hà Nội,,Bìa mềm,236.0,2021-09-15,Tiki Trading,available,1000.0,False,True,True
122336550,Nam Đình Cốc Vi - Tập 1 (Tái Bản)(Truyện Tranh Dành Cho Lứa Tuổi 15+),81800,109000,25,5.0,87,244,Mặc Phi,Uranix,Nhà Xuất Bản Hà Nội,,Bìa mềm,228.0,2021-09-01,Tiki Trading,available,1000.0,False,True,True
117595305,Sách Poco Ở Thế Giới Udon - Tập 2 (Tặng kèm Bookmark),26400,48000,45,4.8,167,575,Nodoka Shinomaru,SkyComics,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,192.0,2021-08-01,Tiki Trading,available,1000.0,False,True,True
95316897,Sách Nam Đình Cốc Vi - Tập 4,96000,99000,3,5.0,52,95,Mặc Phi,Uranix,Nhà Xuất Bản Hà Nội,,Bìa mềm,228.0,2021-05-15,Nhà sách Fahasa,available,1000.0,True,True,True
94383325,Sách Người Bà Tài Giỏi Vùng Saga - Tập 3,50400,52000,3,5.0,44,256,"Yoshichi Shimada, Saburo Ishikawa",SkyComics,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,219.0,2021-05-01,Nhà sách Fahasa,available,1000.0,True,True,True
72711428,Đời Giáo Dở Khóc Dở Cười - Truyện Tranh Hài Hước,52800,66000,20,5.0,15,75,Colm Cuffe,NXB Phụ Nữ Việt Nam,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,148.0,2020-11-15,Tiki Trading,available,1000.0,False,True,True
59282421,Sách 199 Mấy Hồi Ấy Làm Gì?,102560,125000,18,4.8,1174,5223,Trang Neko,Wings Books,Nhà Xuất Bản Kim Đồng,,Bìa mềm,132.0,2020-08-01,Tiki Trading,available,1000.0,False,True,True
50254527,Sách Sơn Hà Nhân Gian Tập 3,76600,79000,3,5.0,20,64,Y Xuy Ngũ Nguyệt,Uranix,Nhà Xuất Bản Hà Nội,,Bìa mềm,164.0,2020-03-02,Nhà sách Fahasa,available,1000.0,True,True,True
