id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278682211,Sách Vị Ngây Thơ,99000,165000,40,4.7,11,114,Lucinda Berry,Tsuki Trinh Thám,Nhà Xuất Bản Dân Trí,,Bìa mềm,384.0,2025-09-30,Tiki Trading,available,1000,False,True,True
158641027,Sách Kẻ Nhắc Tuồng (Tái Bản),151100,199000,24,5.0,194,943,Donato Carrisi,Nhà xuất bản Phụ Nữ,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,516.0,2022-01-01,Tiki Trading,available,1000,False,True,True
278809843,Sách Án Mạng Trong Tháp Thủy Tinh,135850,209000,35,5.0,11,155,Mikito Chinen,Mintbooks,Nhà Xuất Bản Thế Giới,,Bìa mềm,480.0,2025-10-27,Tiki Trading,available,1000,False,True,True
277812999,Sách Hồ Sơ Máu- Vén Màn 13 Vụ Án Rúng Động Mọi Thời Đại,104250,139000,25,4.0,4,99,Đường (biên soạn),Người Trẻ Việt,Nhà Xuất Bản Thế Giới,,Bìa mềm,304.0,2025-03-12,Tiki Trading,available,1000,False,True,True
279135170,Sách Tam Quốc Cơ Mật - Mã Bá Dung,190800,265000,28,5.0,7,64,Mã Bá Dung,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278590521,Sách Agatha Christie - Kỳ Án Bảy Mặt Đồng Hồ,99000,132000,25,4.8,16,187,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,316.0,2025-09-05,Tiki Trading,available,1000,False,True,True
111537683,Sách Và Rồi Chẳng Còn Ai (Agatha Christie),83000,110000,25,5.0,473,2431,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,296.0,2021-07-01,Tiki Trading,available,1000,False,True,True
278626139,Sách Agatha Christie. Vụ Mưu Sát Ngài Edgware,107000,135000,21,5.0,15,189,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,320.0,2025-09-18,Tiki Trading,available,1000,False,True,True
277409853,Sách Bí Ẩn Thảm Án Ở Styles (Agatha Christie) (NXB Trẻ),92000,122000,25,5.0,24,280,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,296.0,,Tiki Trading,available,1000,False,True,True
278890155,Cell - Xung Động Diệt Vong (Stephen King),236880,329000,28,0.0,0,1,Stephen King,1980 Books,Nhà Xuất Bản Hà Nội,,,,,1980 BOOKS HCM,available,1000,True,True,True
277998254,Sách Agatha Christie. Án mạng vùng Lưỡng Hà,96000,130000,26,5.0,17,210,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,308.0,2025-05-23,Tiki Trading,available,1000,False,True,True
278275160,Sách Agatha Christie. Tấm gương nứt vỡ: Một vụ án của Jane Marple,92000,125000,26,5.0,16,195,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,296.0,2025-07-17,Tiki Trading,available,1000,False,True,True
275138977,Sách Thời Niên Thiếu Của Pháp Y Tống Từ - Quyển Thượng,199000,199000,0,0.0,0,2,Long Huyền sách,Linh Lan Books,Nhà Xuất Bản Lao Động,,Bìa mềm,444.0,2024-05-29,NHBook,available,1000,True,True,True
278856940,Agatha Christie. Bí Mật Dinh Thự Chimneys,123000,160000,23,5.0,15,152,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,340.0,2025-11-12,Tiki Trading,available,1000,False,True,True
278894190,Sách Bạch Dạ Truy Hung (Tập 1 + Tập 2),156750,209000,25,5.0,6,78,Chỉ Văn,Vitalis,Nhà Xuất Bản Thế Giới,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
17336364,Sách Phía Sau Nghi Can X (Tái Bản 2019),83850,129000,35,4.8,3560,19341,Higashino Keigo,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,396.0,2019-05-01,Tiki Trading,available,1000,False,True,True
277425002,Sách Án Mạng Giữa Không Trung (Agatha Christie) - NXB Trẻ,94000,125000,25,5.0,23,298,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
279186777,Ký Ức Của Tinh Vịnh Sư,154400,249000,38,5.0,1,3,Atsukawa Tatsumi,1980 Books,Nhà Xuất Bản Hà Nội,,Bìa mềm,200.0,,Tiki Trading,available,1000,False,True,True
19274771,Sách Chuỗi Án Mạng A.B.C (Tái Bản),99700,105000,5,5.0,54,209,Agatha Christie,NXB Trẻ,,,Bìa mềm,300.0,2019-06-01,Nhà sách Fahasa,available,1000,True,True,True
103379147,Sách Bạch Dạ Hành (Tái Bản),168599,235000,28,4.8,1204,5963,Higashino Keigo,Nhã Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,628.0,2021-06-01,Tiki Trading,available,1000,False,True,True
275576878,Sách Agatha Christie. Thi thể trong thư viện - Một vụ án của Jane Marple,86000,110000,22,5.0,54,495,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,236.0,2024-07-16,Tiki Trading,available,1000,False,True,True
274315608,Sách Agatha Christie. Những quân bài trên mặt bàn,93000,130000,28,5.0,58,584,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,306.0,2024-03-08,Tiki Trading,available,1000,False,True,True
274761877,Sách Agatha Christie. Bí mật chuyến tàu xanh,109000,145000,25,5.0,26,274,Agatha Christie,NXB Trẻ,NXB Trẻ,,Bìa mềm,340.0,2024-04-15,Tiki Trading,available,1000,False,True,True
