id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278816223,Sách Thần Thoại Nhật Bản,78000,80000,3,3.0,1,6,Epic,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,196.0,,Tiki Trading,available,1000,False,True,True
278749491,Truyện Cổ Tích Hiện Đại Việt Nam,67000,70000,4,0.0,0,3,"Nhiều tác giả, Lê Nhật Ký",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,196.0,,Tiki Trading,available,1000,False,True,True
278749479,Combo Truyện Cổ Tích Hiện Đại Việt Nam (3 Cuốn),188000,210000,10,0.0,0,7,"Nhiều tác giả, Lê Nhật Ký",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278729130,Thần Thoại Và Truyền Thuyết,332224,485000,32,0.0,0,40,Philip Wilkingson,Nhã Nam,Nhà Xuất Bản Thế Giới,,Bìa cứng,352.0,,Tiki Trading,available,1000,False,True,True
278612156,Truyện Cổ Nhật Bản - Truyện Dân Gian Về Yêu Quái Và Phép Thuật,149000,219000,32,5.0,3,37,Nhiều tác giả,Tri Thức Trẻ Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,210.0,,Tiki Trading,available,1000,True,True,True
278611999,Truyện Cổ Nga - Những Cuộc Phiêu Lưu Và Những Phép Màu,157000,219000,28,5.0,3,30,Nhiều tác giả,Tri Thức Trẻ Books,Nhà Xuất Bản Dân Trí,,Bìa mềm,220.0,,Tiki Trading,available,1000,True,True,True
278160776,Kalila và Dimma - Ngụ ngôn kể lại (Di cảo) - Cao Huy Thuần,111150,111150,0,5.0,1,15,Cao Huy Thuần,Công ty Cổ phần Xuất bản Khai Tâm,Nhà Xuất Bản Văn Học,,Bìa mềm,224.0,2025-06-24,Sách Khai Tâm,available,1000,True,True,True
278037720,Sách Thần Thoại Cho Người Đãng Trí,336063,475000,29,0.0,0,17,Jean-Claude Belfiore,Nhã Nam,Nhà Xuất Bản Dân Trí,,Bìa mềm,560.0,2025-05-27,Tiki Trading,available,1000,False,True,True
277600194,Thần thoại học và thần thoại Việt Nam đa tộc người,136000,136000,0,0.0,0,3,,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,,,,NXB ĐHQGHN,available,1000,True,True,True
277374121,Thần Thoại Việt Nam Chọn Lọc,141000,141000,0,5.0,1,8,"Hoàng Minh,  Việt Dũng,  Thu Nga",VIETNAMBOOK,Nhà Xuất Bản Hà Nội,,Bìa mềm,256.0,2025-02-18,Nhà sách NetaBooks,available,1000,True,True,True
276633842,Sách - Truyện cổ Grimm (2 tập) (Nhã Nam HCM),184800,210000,12,0.0,0,0,Jacob Grimm,Nhã Nam,Nhà Xuất Bản Hà Nội,,Bìa cứng,466.0,2021-01-01,Nhã Nam HCM,available,1000,True,True,True
