id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279106118,"Combo 4 cuốn Truyện: Truyện cổ tích Việt Nam, Truyện cổ Grimm,Truyện ngụ ngôn Aesop, Con nghe chuyện Đức Phật",274000,346000,21,0.0,0,0,Nhiều tác giả,Megabook,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,64.0,2026-01-14,Tiki Trading,available,1000,False,True,True
279106114,Truyện ngụ ngôn Aesop (Những cậu chuyện kinh điển bài học lớn),71000,89000,20,0.0,0,1,Little Rainbow,Megabook,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,136.0,2026-01-14,Tiki Trading,available,1000,False,True,True
279106078,Con nghe chuyện Đức Phật (Những câu chuyện khai mở tâm sáng và lòng nhân ái),63000,79000,20,0.0,0,1,Little Rainbow,Megabook,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,100.0,2026-01-14,Tiki Trading,available,1000,False,True,True
278972894,Truyện Cổ Tích Việt Nam và Truyện cổ Grimm (Combo và Lẻ),68000,89000,24,0.0,0,0,Little Rainbow,Megabook,Nhà Xuất Bản Phụ Nữ Việt Nam,,Bìa mềm,,2025-12-01,Tiki Trading,available,1000,False,True,True
278151963,Illustrated Classics - Truyện Cổ Tích Về Những Người Hùng Bình Dị,168000,168000,0,0.0,0,0,nhieu tac gia,NXB Thế Giới,Nhà Xuất Bản Thế Giới,,Bìa cứng,208.0,,Nhà Sách Phương Nam,available,1000,True,True,True
278076846,Truyện Cổ Tích Thế Giới Hay Nhất - Nàng Bạch Tuyết và Bảy Chú Lùn (Song ngữ Việt-Anh),25000,25000,0,0.0,0,0,Usborne,NXB Dân Trí,Nhà Xuất Bản Dân Trí,,Bìa mềm,24.0,,Nhà Sách Phương Nam,available,1000,True,True,True
278022880,Truyện Cổ Tích Thế Giới Hay Nhất - Cậu Bé Rừng Xanh (Song ngữ Việt-Anh),25000,25000,0,0.0,0,0,Usborne,NXB Dân Trí,Nhà Xuất Bản Dân Trí,,Bìa mềm,24.0,,Nhà Sách Phương Nam,available,1000,True,True,True
278022870,Truyện Cổ Tích Thế Giới Hay Nhất - Bộ Quần Áo Mới Của Hoàng Đế (Song ngữ Việt-Anh),25000,25000,0,0.0,0,0,Usborne,NXB Dân Trí,Nhà Xuất Bản Dân Trí,,Bìa mềm,24.0,,Nhà Sách Phương Nam,available,1000,True,True,True
277810652,Tuyển Tập Nghìn Lẻ Một Đêm - Người Đánh Cá Và Vị Thần,58000,58000,0,0.0,0,1,nhieu tac gia,NXB Văn Học,Nhà Xuất Bản Văn Học,,Bìa mềm,120.0,,Nhà Sách Phương Nam,available,1000,True,True,True
277810650,Tuyển Tập Nghìn Lẻ Một Đêm - Thủy Thủ Sinbad,69000,69000,0,0.0,0,1,nhieu tac gia,NXB Văn Học,Nhà Xuất Bản Văn Học,,Bìa mềm,164.0,,Nhà Sách Phương Nam,available,1000,True,True,True
277810648,Tuyển Tập Nghìn Lẻ Một Đêm - Con Ngựa Thần Kỳ,58000,58000,0,0.0,0,0,nhieu tac gia,NXB Văn Học,Nhà Xuất Bản Văn Học,,Bìa mềm,116.0,,Nhà Sách Phương Nam,available,1000,True,True,True
277810646,Tuyển Tập Nghìn Lẻ Một Đêm - Aladdin Và Cây Đèn Thần,58000,58000,0,0.0,0,2,nhieu tac gia,NXB Văn Học,Nhà Xuất Bản Văn Học,,Bìa mềm,120.0,,Nhà Sách Phương Nam,available,1000,True,True,True
277810644,Tuyển Tập Nghìn Lẻ Một Đêm - Alibaba Và Bốn Mươi Tên Cướp,58000,58000,0,0.0,0,1,nhieu tac gia,NXB Văn Học,Nhà Xuất Bản Văn Học,,Bìa mềm,112.0,,Nhà Sách Phương Nam,available,1000,True,True,True
275606996,Những Câu Chuyện Cổ Tích Thế Giới Hay Nhất - Tập 1,95000,95000,0,0.0,0,0,An Nhiên,NXB Phụ Nữ,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,125.0,,Nhà Sách Phương Nam,available,1000,True,True,True
275385110,Truyện Kể Cho Bé Trước Giờ Đi Ngủ - Tập 1 (Song ngữ Anh-Việt),88000,88000,0,0.0,0,3,nhieu tac gia,NXB Văn Học,Nhà Xuất Bản Văn Học,,Bìa mềm,119.0,,Nhà Sách Phương Nam,available,1000,True,True,True
272853976,Tủ Sách Vàng Cho Con - Truyện Ngụ Ngôn Aesop,137500,138900,1,0.0,0,1,Stefania Leonardi Harley,Tân Việt,Nhà Xuất Bản Mỹ Thuật,,Bìa cứng,120.0,2021-01-01,Minhhabooks,available,1000,True,True,True
271479313,Truyện Thần Thoại,102000,120000,15,0.0,0,2,,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,NXB TỔNG HỢP,available,1000,True,True,True
271479295,Truyện Trí Tuệ,102000,120000,15,0.0,0,1,,Nhà xuất bản Tổng hợp TP.HCM ,Nhà Xuất Bản Tổng hợp TP.HCM,,,,,NXB TỔNG HỢP,available,1000,True,True,True
271379040,Những câu truyện cổ tích hay nhất của Andersen,99000,99000,0,0.0,0,2,Andersen,HaNoi Books,NXB Dân Trí,,Bìa mềm,208.0,2023-08-24,HanoiBooks,available,1000,True,True,True
270823649,Bạn Cá Sấu Thân Thiện - Tập 1: Tình Bạn Diệu Kì,70000,70000,0,0.0,0,5,,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa gập,140.0,2023-07-31,Bamboo Books,available,1000,True,True,True
270671040,(Boxset 5 tập – tranh minh hoạ) TRUYỆN CỔ TÍCH VIỆT NAM - Nguyễn Đổng Chi – Đông A ,652800,680000,4,0.0,0,0,,Công Ty Cổ Phần Văn Hóa Đông A,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,,,TYMBooks,available,1000,True,True,True
235368502,TRUYỆN CỔ TÍCH THẾ GIỚI SONG NGỮ HAY NHẤT,90000,90000,0,0.0,0,0,Bùi Mạnh Chiến,Minh Long,Nhà Xuất Bản Mỹ Thuật,,Bìa mềm,200.0,2023-02-27,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
216096894,Sách Alice ở xứ sở diệu kì và Alice ở xứ sở trong gương (Bìa cứng),550000,550000,0,0.0,0,0,Fleurus,Đông A,Nhà Xuất Bản Văn Học,,,324.0,2023-01-01,FishingBook,available,1000,True,True,True
207660652,Truyện Cổ Kinh Điển Thế Giới Với Bản Dịch Mới - Cô Bé Khăn Đỏ,45000,45000,0,0.0,0,0,nhieu tac gia,NXB Phụ Nữ,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,28.0,2020-05-02,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
206480559,Truyện Ngụ Ngôn Và Câu Hỏi Thực Hành Ý Nghĩa - Tập 2,118000,118000,0,0.0,0,0,Nhã Uyên,Nhà xuất bản Phụ Nữ,Nhà Xuất Bản Phụ Nữ,,Bìa mềm,127.0,,Nhà Sách Phương Nam,available,1000,True,True,True
206331248,Truyện Song Ngữ Anh-Việt - Công Chúa Tóc Mây,35000,35000,0,0.0,0,0,Stefania Leonardi Hartley,Nhà Xuất Bản Mỹ Thuật,Nhà Xuất Bản Mỹ Thuật,,Bìa mềm,32.0,,Nhà Sách Phương Nam,available,1000,True,True,True
178777155,Truyện Cổ Tích Việt Nam Tập 1 - Cây Tre Trăm Đốt,69000,69000,0,0.0,0,0,Thu Hà,Cty Văn Hóa Văn Lang,,,Bìa mềm,160.0,2022-03-12,Bamboo Books,available,1000,True,True,True
149125880,Hoàng Tử Hạnh Phúc Song ngữ Anh - Việt,103200,129000,20,0.0,0,4,Oscar Wilde,NS Hương Giang,Nhà Xuất Bản Thế Giới,,Bìa mềm,440.0,2021-12-13,Nhà sách Hương Giang,available,1000,True,True,True
137486372,Sách Những Câu Chuyện Hay Nhất Về Các Nàng Công Chúa,100000,100000,0,0.0,0,0,Tony Wolf,Nhà Xuất Bản Dân Trí,Nhà Xuất Bản Dân Trí,,Bìa mềm,60.0,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
84452630,Truyện Thiếu Nhi - Tấm Cám Tái bản 2021,16000,16000,0,0.0,0,6,nhieu tac gia,Pandabooks,Nhà Xuất Bản Thanh Niên,,Bìa mềm,16.0,2021-01-22,Pandabooks Hiệu Sách,available,1000,True,True,True
75983556,Truyện Ngụ Ngôn Aesop (Bộ Túi 12 Cuốn) - Tái Bản 2020,78000,120000,35,4.0,1,2,Aesop,Đông A,Nhà Xuất Bản Dân Trí,,Bìa mềm,200.0,,Đông A Books Official,available,1000,True,True,True
