id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279120672,Sách Codename Anastasia (Tập 2),201000,225000,11,5.0,9,79,Boyseason,Moon Novels,Nhà Xuất Bản Dân Trí,,Bìa mềm,408.0,,Tiki Trading,available,1000,False,True,True
278856951,Sách Salt Friend - Tập 4,157000,179000,12,4.5,8,75,Kinh Kiến,Daisy Comics,Nhà Xuất Bản Dân Trí,,Bìa mềm,248.0,2025-11-14,Tiki Trading,available,1000,False,True,True
278809852,Sách Quán Cơm Tỳ Hưu - Chỉ Có Vào Không Có Ra (Tập 1),159000,178000,11,4.5,8,76,"Hải Kinh Lạc, Cửu Ngao Ngao",SkyComics,Nhà Xuất Bản Dân Trí,,Bìa mềm,232.0,2025-11-03,Tiki Trading,available,1000,False,True,True
278679651,"Sách Hẹn Gặp Lại, Quốc Vương Của Tôi - Tập 4",155000,179000,13,4.8,11,94,Ôn Viễn,Daisy Comics,Nhà Xuất Bản Dân Trí,,Bìa mềm,260.0,2025-09-26,Tiki Trading,available,1000,False,True,True
278575782,Sách Heesu Ở Lớp B – Tập 8 (Tập Cuối),122400,153000,20,5.0,1,16,Lily,SkyComics,Nhà Xuất Bản Hà Nội,,Bìa mềm,184.0,2025-09-04,Tiki Trading,available,1000,False,True,True
278324863,Sách Sốt Cao Không Hạ - Tập 2,194000,219000,11,5.0,3,28,Tam Tam Nương,Moon Novels,Nhà Xuất Bản Hà Nội,,Bìa mềm,536.0,2025-07-21,Tiki Trading,available,1000,False,True,True
278076369,Sách - Sốt Cao Không Hạ - Tập 1 - Bản Đặc Biệt - Tặng Kèm Bookmark + Postcard + Móc Khóa,269000,269000,0,0.0,0,0,Tam Tam Nương,AZ Việt Nam,Nhà Xuất Bản Hà Nội,,Bìa mềm,,2023-12-21,BINHMINHBOOKSHOP,available,1000,True,True,True
278076366,"Sách - 25 Giờ, Ở Akasaka - At 25:00, In Akasaka - Tập 3 - Tặng Kèm Clearcard",94000,99000,5,0.0,0,0,,XYZ,NXB Dân Trí,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278054852,Sách Thiên Quan Tứ Phúc - Tập 6 ( Bản Hoạt Hình),157000,179000,12,4.8,8,80,Mặc Hương Đồng Khứu,Daisy Comics,Nhà Xuất Bản Dân Trí,,Bìa mềm,272.0,2025-06-06,Tiki Trading,available,1000,False,True,True
278054820,Sách Ma Tôn Muốn Ôm Ôm - Tập 1,118150,139000,15,5.0,2,8,Si Vũ,Leaf books,Nhà Xuất Bản Dân Trí,,Bìa mềm,184.0,2025-06-04,Tiki Trading,available,1000,False,True,True
277854577,Sách - Ma Quỷ Dân Gian Ký ( LLB),268000,268000,0,0.0,0,0,,Linh Lan Books,Nhà Xuất Bản Hội Nhà Văn,,,,,Bảo Châu Books,available,1000,True,True,True
276744220,Tôi Muốn Chối Bỏ Tình Yêu Ấy - Tặng Kèm Lót Ly Giấy (Số Lượng Có Hạn),75000,75000,0,0.0,0,0,Zeniko Sumiya,Gieobooks,NXB Dân Trí,,Bìa mềm,144.0,2024-12-07,Tazano Official Store,available,1000,True,True,True
276370492,Lost Control - Tập 1,115000,115000,0,0.0,0,0,Thi Vũ,AZ Việt Nam,Nhà Xuất Bản Dân Trí,,,200.0,,Bamboo Books,available,1000,True,True,True
276333509,Sách Cherry Magic (Tập 12),87200,109000,20,5.0,15,178,Yuu Toyota,Daisy Comics,Nhà Xuất Bản Dân Trí,,Bìa mềm,130.0,,Tiki Trading,available,1000,False,True,True
276247003,Ma Đạo Tổ Sư - Bản Truyện Tranh - Tập 7,159000,159000,0,0.0,0,0,"Mặc Hương Đồng Khứu, Lạc Địa Thành Cầu",AZ Việt Nam,Nhà Xuất Bản Dân Trí,,,236.0,,NHBook,available,1000,True,True,True
