id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279236031,"Điệu múa chim công, có ai thấy không?",56000,56000,0,5.0,1,20,Rito Asami,NXB Trẻ,NXB Trẻ,,Bìa mềm,160,2026-03-18,Tiki Trading,available,1000,False,True,True
279185704,Sách Cuốn Từ Điển Kì Bí,25000,25000,0,5.0,1,81,Fujiko F Fujio,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,188,,Tiki Trading,available,1000,False,True,True
279157961,Hikaru - Kì Thủ Cờ Vây - Ultimate Edition ( Chọn Tập),76000,80000,5,5.0,2,102,"Takeshi Obata, Yumi Hotta",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
279112904,Thám Tử Lừng Danh Conan - Tập 107,25000,25000,0,5.0,10,157,Gosho Aoyama,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,176,,Tiki Trading,available,1000,False,True,True
278967562,Monster - Deluxe Edition –  [Chọn Tập Lẻ],118750,125000,5,5.0,34,246,Naoki Urasawa,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278949599,Nhóc Miko! Cô bé nhí nhảnh,32900,35000,6,5.0,17,41,ONO Eriko,NXB Trẻ,NXB Trẻ,,Bìa mềm,168,2024-08-23,Tiki Trading,available,1000,False,True,True
278948895,Tuyển Tập Kiệt Tác Fujiko F Fujio - F The Best [Tặng Kèm Set Sticker Khổ Lớn],190000,200000,5,5.0,15,213,Fujiko F Fujio,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,668,,Tiki Trading,available,1000,False,True,True
278948458,Sách Vòng Lặp Thứ 7 Của Tiểu Thư Phản Diện - Cuộc Sống Hôn Nhân Tự Tại Giữa Lòng Địch Quốc (Chọn Tập Lẻ),50000,50000,0,5.0,1,35,"Hinoki Kino, Touko Amekawa, Wan⭐Hachipisu",Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278892527,Sách Tokyo Aliens - [Chọn Tập Lẻ],40000,40000,0,4.3,6,125,NAOE,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,,,Tiki Trading,available,1000,False,True,True
278790552,Bộ Truyện One Piece [Chọn Tập Lẻ],28500,30000,5,5.0,195,1311,Eiichiro Oda,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,Bìa mềm,196,2015-09-18,Tiki Trading,available,1000,False,True,True
