id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
278879662,TỪ ĐIỂN KHOA HỌC VÀ CÔNG NGHỆ HÀNG HẢI ANH - VIỆT,1377000,1620000,15,0.0,0,0,TS. Phạm Bá Toàn,Nhà Xuất Bản Khoa học và Kỹ thuật,Nhà Xuất Bản Khoa học và Kỹ thuật,,Bìa cứng áo ôm,2000,,VIETNAMBOOK,available,1000,True,True,True
278763291,"Sách - Từ Điển Đức - Việt Hiện Đại (75.000 Từ) - Bản Mới Nhất, Cập Nhật Từ Mới",168000,168000,0,0.0,0,0,Nguyễn Thu Hương,Cty Văn Hóa Tổng Hợp Bút Việt,Nhà Xuất Bản Hồng Đức,,Bìa mềm,1328,2025-10-16,Hiệu Sách Văn Hiến,available,1000,True,True,True
278422898,Sách - Từ điển chữ Nôm Tày - Tác giả Tống Đại Hồng - Trithuctrebooks - Khổ 16*24 cm,233100,259000,10,0.0,0,2,nhieu tac gia,Tri Thức Trẻ Books,Nhà Xuất Bản Lao Động,,Bìa mềm,,2025-07-25,VIETNAMBOOK,available,1000,True,True,True
278154524,Từ Điển Nga - Việt,262000,350000,25,4.8,58,8,PGS.Tiến sĩ Nguyễn Trọng Báu,Huy Hoàng Bookstore,Nhà Xuất Bản Thế Giới,,Bìa cứng,1008,2015-12-02,Tiki Trading,available,1000,False,True,True
276998452,Đại Từ Điển Chữ Nôm (Bìa Cứng),585000,585000,0,0.0,0,0,Vũ Văn Kính,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Thời Đại,,Bìa cứng,1600,2025-01-10,Nhà sách NetaBooks,available,1000,True,True,True
276831296,Sách Translation 1 - Giáo trình Dịch thuật 1,330000,330000,0,0.0,0,0,,NXB Thông Tin & Truyền Thông,Nhà Xuất Bản Thông Tin Và Truyền Thông,,Bìa mềm,190,2024-12-18,Bảo Châu Books,available,1000,True,True,True
276779202,Từ Điển Châm Cứu,260000,260000,0,0.0,0,0,Lương y Hoàng Duy Tân,Cty Cửu Đức,Nhà Xuất Bản Đồng Nai,,Bìa cứng,989,2006-11-01,Sách Huế THT,available,1000,True,True,True
275874040,Từ Điển Xây Dựng Anh - Việt - Pháp - Nga - Trung (Tác giả Nguyễn Huy Côn),208000,208000,0,0.0,0,1,,NXB Xây Dựng,Nhà Xuất Bản Xây Dựng,,Bìa mềm,334,2024-08-08,Bảo Châu Books,available,1000,True,True,True
275539115,Từ Điển Y Học Dorland Anh - Việt (VL),1300000,1300000,0,0.0,0,0,,Văn Lang,Nhà Xuất Bản Y học,,Bìa cứng,1980,,NewShop Official,available,1000,True,True,True
275339959,Từ Điển Cà Phê - Cà Phê Từ A Đến Z - Bìa Cứng,277300,295000,6,5.0,1,10,Maxwell Colonna-Dashwood,Nhã Nam,Nhà Xuất Bản Thế Giới,,,,,Nhà sách Fahasa,available,1000,True,True,True
275137842,Từ Điển Lào-Việt,464000,580000,20,0.0,0,0,,Cty Văn Hóa Hương Trang,hong duc,,,,,Nhà sách Fahasa,available,1000,True,True,True
274383965,Tự Học Hán Văn ,62050,85000,27,0.0,0,4,Nguyễn Khuê,Nhà Sách Hồng Ân,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,336,,Bảo Châu Books,available,1000,True,True,True
272059130,Từ Điển Tôn Giáo Thế Giới Giản Yếu - Vanlangbooks,66000,110000,40,4.6,5,25,John Bowker,VanLangBooks,Nhà Xuất Bản Từ Điển Bách Khoa,,Bìa mềm,606,2011-09-01,Văn Lang Official Store,available,1000,True,True,True
270714532,Từ điển kế toán và kiểm toán Anh - Việt,279300,399000,30,0.0,0,10,,Kinh tế TPHCM,Nhà Xuất Bản Tài Chính,,Bìa mềm,578,2023-06-29,Nhà Sách Kinh Tế VN,available,1000,True,True,True
250741588,Từ Điển Văn Hóa Cổ Truyền Việt Nam,232700,245000,5,5.0,2,15,Hữu Ngọc,Nhà Xuất Bản Kim Đồng,Nhà Xuất Bản Kim Đồng,,,,,Nhà sách Fahasa,available,1000,True,True,True
218749858,Tự Học Hán Văn (Nguyễn Khuê),85000,85000,0,5.0,1,11,Nguyễn Khuê,Nhà Sách Hồng Ân,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,336,2020-02-26,Hiệu Sách Văn Hiến,available,1000,True,True,True
217174025,Kỳ thư cho bách gia - Nghiệm lý âm dương,477000,530000,10,0.0,0,5,,Tri Thức Trẻ Books,Nhà Xuất Bản Văn Học,,Bìa cứng,530,2023-02-10,Tri Thức Trẻ Books,available,1000,True,True,True
198091173,Từ Điển Tài Chính Kế Toán Và Ngân Hàng Anh Việt - Việt Anh (KV),121250,125000,3,0.0,0,3,,Công ty MTV DV - VH Khang Việt,Nhà Xuất Bản Thanh Niên,,Bìa mềm,,,NewShop Official,available,1000,True,True,True
191144274,Từ Điển Mỹ Học,399000,399000,0,0.0,0,0,Nguyễn Văn Dân (Biên soạn),Công Ty TNHH Sách Và Truyền Thông Việt Nam,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,656,2022-07-20,Bảo Châu Books,available,1000,True,True,True
179772504,Từ Điển Việt - Anh - Đức Bằng Tranh: Thế Giới Quanh Em,150000,150000,0,0.0,0,0,"Cloud Pillow Studio, HANH NGUYEN, SCHWANKE",Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,Nhà Xuất Bản Đại Học Quốc Gia Hà Nội,,Bìa mềm,54,,Nhà Sách Vĩnh Thụy,available,1000,True,True,True
173360406,Hệ Giá Trị Việt Nam Từ Truyền Thống Đến Hiện Đại,250000,250000,0,0.0,0,0,,NXB Tổng hợp TP.HCM,oem,,,,,HỆ THỐNG NHÀ SÁCH ABC,available,1000,True,True,True
173360397,Developing Skills For The TOEIC Test,146000,146000,0,0.0,0,0,,First News - Trí Việt,oem,,,,,NHBook,available,1000,True,False,True
118719969,Tam Tự Kinh ( Trình Bày: Việt - Hán - Nôm ),62000,62000,0,0.0,0,6,Đoàn Trung Còn,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Hồng Đức,,Bìa mềm,117,2025-11-10,Sáng Tạo Trẻ 79,available,1000,True,True,True
102763891,Đại Từ Điển Chữ Nôm,595000,595000,0,0.0,0,1,,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Hồng Đức,,Bìa cứng,1600,,Hiệu Sách Văn Hiến,available,1000,True,True,True
