id,name,price,list_price,discount_rate,rating_average,review_count,all_time_quantity_sold,authors,publisher_vn,manufacturer,isbn13,book_cover,number_of_page,publication_date,current_seller_name,inventory_status,stock,has_freeship,is_authentic,has_return_policy
279258238,Sách Từ điển Chính Tả Tiếng Việt,73000,95000,23,0.0,0,1,Văn Lang Culture Jsc,VanLangBooks,Nhà Xuất Bản Thanh Hóa,,Bìa mềm,800,2026-03-09,Tiki Trading,available,1000,False,True,True
279249167,Tiếng Việt Giàu Đẹp - Tầm Nguyên Từ Điển,142500,150000,5,0.0,0,0,Vân-Hạc Lê Văn Hòe,NXB Trẻ,NXB Trẻ,,Bìa mềm,372,2026-03-20,Nhà sách NetaBooks,available,1000,True,True,True
279100042,Giải Nghĩa Thành Ngữ Tục Ngữ Việt Nam - Quyển 2: Từ M Đến Y,108000,108000,0,0.0,0,1,"Minh Thành An sưu tầm, biên soạn",VIETNAMBOOK,Nhà Xuất Bản Tri Thức,,Bìa mềm,196,2026-01-16,VIETNAMBOOK,available,1000,True,True,True
279077275,Giải Nghĩa Thành Ngữ Tục Ngữ Việt Nam - Quyển 1: Từ A Đến L ,115000,115000,0,0.0,0,1,"Minh Thành An sưu tầm, biên soạn",VIETNAMBOOK,Nhà Xuất Bản Tri Thức,,Bìa mềm,208,2026-01-12,VIETNAMBOOK,available,1000,True,True,True
278966722,Sách - Từ Điển Tiếng Việt - Bìa Cứng (Tái Bản 2025),572300,590000,3,0.0,0,1,nhieu tac gia,Cty Văn Hóa Văn Lang,hong duc,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
278854158,Sách - Từ Điển Tiếng Việt - Dành Cho Học Sinh Cấp 1 (Viện Hàn Lâm Khoa Học Xã Hội VN),60000,60000,0,0.0,0,0,Viện Hàn Lâm Khoa Học Xã Hội Việt Nam,Nhà Sách Hồng Ân,Nhà Xuất Bản Hồng Đức,,,,,Khanhlinhbook,available,1000,True,True,True
278816660,Sách - Từ Điển Tiếng Việt Thông Dụng,65000,65000,0,0.0,0,0,Thành Yến,Nhà Sách Hồng Ân,Nhà Xuất Bản Dân Trí,,,,,Khanhlinhbook,available,1000,True,True,True
278698767,Từ Điển Tiếng Việt Thông Dụng (Bìa Mềm),58700,80000,27,4.7,7,115,Thành Yến,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa mềm,624,2022-09-09,Tiki Trading,available,1000,False,True,True
278089629,Từ Điển Tiếng Việt Của GS. Nguyễn Lân - Phê Bình Và Khảo Cứu,261000,290000,10,0.0,0,2,Hoàng Tuấn Công,Phương Nam Book,Nhà Xuất Bản Hội Nhà Văn,,Bìa mềm,656,2018-06-11,PHƯƠNG NAM BOOK,available,1000,True,True,True
276933577,Từ Điển Tiếng Việt Dành Cho Học Sinh (Khổ Nhỏ),48000,65000,26,5.0,49,52,Thành Yến,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa mềm,1120,2021-07-15,Tiki Trading,available,1000,False,True,True
276316465,Từ Điển Tiếng Việt - Bìa Cứng,255200,290000,12,0.0,0,1,Ngôn Ngữ Việt Nam,Fahasa,Nhà Xuất Bản Từ Điển Bách Khoa,,Bìa mềm,,2023-12-21,Nhà sách Fahasa,available,1000,True,True,True
276176078,TỰ ĐIỂN ĐỐI CHIẾU CHỮ HÁN GIẢN THỂ - PHỒN THỂ,120000,120000,0,0.0,0,22,,Công ty TNHH TM & DV Văn Hóa Hương Trang,NXB Trẻ,,Bìa cứng,314,2023-09-06,Sách Hay Tinh Tuyển,available,1000,True,True,True
276175362,TÂN HOA TẢ TỰ TỰ ĐIỂN,78400,78400,0,0.0,0,1,,Công ty TNHH TM & DV Văn Hóa Hương Trang,Nhà Xuất Bản Hồng Đức,,Bìa mềm,337,2023-09-06,Sách Hay Tinh Tuyển,available,1000,True,True,True
274949836,Từ Điển Tiếng Việt,98000,98000,0,0.0,0,0,Nguyễn Tôn Nhan - Phú Văn Hẳn,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Bamboo Books,available,1000,True,True,True
274901178,Từ Điển Tiếng Việt,92100,98000,6,0.0,0,1,Nguyễn Tôn Nhan,Cty Văn Hóa Văn Lang,hong duc,,,,,Nhà sách Fahasa,available,1000,True,True,True
274712478,Từ Điển Thành Ngữ và Tục Ngữ Việt Nam,50000,50000,0,0.0,0,3,G.S Nguyễn Lân,Nhà Sách Hồng Ân,Nhà Xuất Bản Đà Nẵng,,Bìa mềm,359,2016-04-14,Nhà sách Quốc Việt,available,1000,True,True,True
271379251,Sách - Từ Điển Thành Ngữ Và Tục Ngữ Việt Nam ( dành cho học sinh ),68000,68000,0,0.0,0,24,,Nhà Sách Hồng Ân,Nhà Xuất Bản Hồng Đức,,Bìa mềm,,,Khanhlinhbook,available,1000,True,True,True
270490710,Từ Điển Chính Tả Tiếng Việt - Vanlangbooks,55900,65000,14,0.0,0,1,,VanLangBooks,,,Bìa mềm,512,,Văn Lang Official Store,available,1000,True,True,True
262295224,Từ Điển Tiếng Việt (Hoàng Phê) - Tái Bản - Vanlangbooks,560500,590000,5,5.0,10,151,,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa cứng,1491,,Văn Lang Official Store,available,1000,True,True,True
248978294,Từ Điển Tiếng Việt - Vanlangbooks,114540,138000,17,5.0,5,47,Nguyễn Tôn Nhan,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,1224,2022-03-24,Văn Lang Official Store,available,1000,True,True,True
225906148,Từ Điển Tiếng Việt (Hoàng Phê),590000,590000,0,5.0,1,6,Gs Hoàng Phê,VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa cứng,1942,2022-09-02,Bamboo Books,available,1000,True,True,True
212213013,Từ điển tiếng việt dành cho học sinh - khổ to (Tái bản),50100,75000,33,5.0,26,486,Thành Yến,Nhà sách Minh Thắng,Nhà Xuất Bản Dân Trí,,Bìa mềm,668,,Tiki Trading,available,1000,False,True,True
197652245,Từ Điển Tiếng Việt Thông Dụng - Khổ Nhỏ (Tái Bản),51000,60000,15,4.8,4,18,Thành Yến,Nhà sách Minh Thắng,NXB Dân Trí,,,,,Nhà sách Fahasa,available,1000,True,True,True
194103343,ĐẠI TỰ ĐIỂN HÁN VIỆT - HÁN NGỮ CỔ VÀ HIỆN ĐẠI,1629000,1950000,16,4.5,8,43,Trần Văn Chánh,Công Ty Sách Thời Đại,Nhà Xuất Bản Hồng Đức,,Bìa cứng,1918,2019-12-01,Tiki Trading,available,1000,False,True,True
192360435,TỪ ĐIỂN TIẾNG VIỆT (130000 TỪ),69350,95000,27,4.5,2,14,TS Nguyễn Thị Bích Hạnh,Nhà Sách Hồng Ân,Nhà Xuất Bản Dân Trí,,Bìa mềm,,,Bảo Châu Books,available,1000,True,True,True
192208886,Đại Tự Điển Hán Việt - Hán Ngữ Cổ Và Hiện Đại (Bìa Cứng),1950000,1950000,0,4.3,6,24,Trần Văn Chánh,Công Ty Sách Thời Đại,Nhà Xuất Bản Hồng Đức,,Bìa cứng,2000,,Nhà sách NetaBooks,available,1000,True,True,True
173763075,Từ Điển Tiếng Việt (Tái Bản) (Viện Hàn Lâm KHXH Việt Nam),105000,138000,24,4.8,17,166,"Nguyễn Tôn Nhan, Phú Văn Hẳn",VanLangBooks,Nhà Xuất Bản Hồng Đức,,Bìa mềm,1224,2022-04-01,Tiki Trading,available,1000,False,True,True
